Note: [none]
Total # of Iterations:	8000	
Sample size:	198	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
117.3715	2	-230.6814	-230.743	197.9833	-4.391718e-08	
Model:	
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
PotGrowth	0.3314927	0.3129733	0.3481778	N/A	0.1	1	0.03799629	
sd	0.1335911	0.1215759	0.1474041	N/A	1e-04	10	0.03170298	

Non-varying parameters:
Label	Value
mean	predicted	
x	RG	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[not calculated]

Source data
ID_plot	ID_pine	Altitude	eq_DBH	y_2011	y_2012	y_2013	y_2014	y_2015	y_2016	RG	predicted	
5	516	736.9561	0.625442	0.073	0.101	0.198	0.301	0.53	0.531	0.3322	0.3314927	
5	517	735.9653	0.996755	0.027	0.044	0.104	0.192	0.301	0.23	0.1742	0.3314927	
5	518	742.0003	2.151951	0.223	0.282	0.584	0.749	0.978	0.525	0.6236	0.3314927	
5	519	744.1934	2.193208	0.54	0.394	0.363	0.456	0.477	0.387	0.4154	0.3314927	
5	520	745.9056	0.460414	0.041	0.048	0.065	0.13	0.228	0.246	0.1434	0.3314927	
6	601	660.8309	1.285554	0.195	0.196	0.176	0.238	0.387	0.465	0.2924	0.3314927	
6	602	675.5486	1.20304	0.252	0.148	0.274	0.331	0.486	0.44	0.3358	0.3314927	
6	603	677.5911	0.831727	0.162	0.081	0.14	0.192	0.214	0.25	0.1754	0.3314927	
6	604	680.6456	1.120526	0.161	0.17	0.245	0.302	0.183	0.273	0.2346	0.3314927	
6	605	680.2789	2.358236	0.382	0.241	0.495	0.747	1.162	0.993	0.7276	0.3314927	
6	606	654.603	1.079269	0.101	0.128	0.295	0.359	0.361	0.388	0.3062	0.3314927	
6	607	676.6408	1.574353	0.145	0.083	0.203	0.339	0.352	0.381	0.2716	0.3314927	
6	608	672.2734	0.955498	0.184	0.137	0.252	0.337	0.299	0.311	0.2672	0.3314927	
6	609	669.0643	1.450582	0.218	0.155	0.328	0.486	0.561	0.581	0.4222	0.3314927	
6	610	665.0903	0.872984	0.213	0.169	0.331	0.314	0.234	0.232	0.256	0.3314927	
6	611	688.1921	0.872984	0.234	0.317	0.165	0.289	0.155	0.15	0.2152	0.3314927	
6	612	694.5786	1.491839	0.222	0.211	0.389	0.501	0.342	0.237	0.336	0.3314927	
6	613	674.3807	1.945666	0.484	0.212	0.377	0.587	0.769	0.513	0.4916	0.3314927	
6	614	689.3574	2.02818	0.354	0.295	0.617	0.63	0.667	0.568	0.5554	0.3314927	
6	615	694.6588	1.368068	0.184	0.127	0.212	0.278	0.432	0.392	0.2882	0.3314927	
7	701	581.6723	1.285554	0.178	0.205	0.185	0.17	0.234	0.259	0.2106	0.3314927	
7	702	578.5834	1.20304	0.061	0.063	0.09	0.122	0.147	0.205	0.1254	0.3314927	
7	703	580.6174	1.61561	0.18	0.149	0.153	0.307	0.329	0.54	0.2956	0.3314927	
7	704	556.7182	2.275722	0.414	0.258	0.301	0.302	0.38	0.459	0.34	0.3314927	
7	705	581.4133	0.79047	0.138	0.158	0.229	0.198	0.233	0.254	0.2144	0.3314927	
7	706	579.4422	1.079269	0.188	0.124	0.131	0.197	0.26	0.249	0.1922	0.3314927	
7	707	590.1541	2.151951	0.247	0.239	0.288	0.505	0.462	0.276	0.354	0.3314927	
7	708	596.3055	1.161783	0.339	0.152	0.133	0.275	0.318	0.391	0.2538	0.3314927	
7	709	588.9995	0.831727	0.063	0.066	0.127	0.188	0.24	0.277	0.1796	0.3314927	
7	710	587.0706	1.120526	0.146	0.138	0.16	0.233	0.215	0.337	0.2166	0.3314927	
7	711	585.1311	0.914241	0.104	0.112	0.125	0.347	0.344	0.319	0.2494	0.3314927	
7	712	585.2579	1.491839	0.235	0.191	0.229	0.244	0.374	0.386	0.2848	0.3314927	
7	713	586.6707	1.079269	0.185	0.131	0.085	0.143	0.163	0.224	0.1492	0.3314927	
7	714	552.8234	2.110694	0.316	0.191	0.223	0.295	0.394	0.341	0.2888	0.3314927	
7	715	552.9556	1.20304	0.191	0.175	0.241	0.208	0.35	0.487	0.2922	0.3314927	
7	716	553.4629	1.863152	0.217	0.167	0.253	0.267	0.489	0.492	0.3336	0.3314927	
7	717	552.5883	1.821895	0.316	0.27	0.343	0.27	0.416	0.536	0.367	0.3314927	
7	718	556.3034	0.914241	0.107	0.088	0.121	0.18	0.2	0.195	0.1568	0.3314927	
7	719	556.6839	1.038012	0.137	0.097	0.217	0.281	0.374	0.404	0.2746	0.3314927	
7	720	587.4933	1.20304	0.165	0.188	0.193	0.24	0.325	0.359	0.261	0.3314927	
7	721	585.9792	1.574353	0.245	0.287	0.325	0.312	0.461	0.593	0.3956	0.3314927	
7	722	581.3817	1.863152	0.284	0.243	0.303	0.476	0.52	0.501	0.4086	0.3314927	
7	723	580.1873	1.079269	0.136	0.123	0.201	0.193	0.272	0.255	0.2088	0.3314927	
7	724	581.519	1.739381	0.507	0.294	0.216	0.23	0.309	0.435	0.2968	0.3314927	
8	802	638.9522	1.038012	0.108	0.114	0.2	0.262	0.454	0.45	0.296	0.3314927	
8	803	639.5682	1.244297	0.172	0.18	0.354	0.392	0.496	0.401	0.3646	0.3314927	
8	804	638.749	0.996755	0.176	0.169	0.258	0.215	0.323	0.392	0.2714	0.3314927	
8	805	641.7217	0.955498	0.17	0.14	0.181	0.221	0.351	0.301	0.2388	0.3314927	
8	806	642.8499	1.038012	0.262	0.078	0.158	0.219	0.368	0.559	0.2764	0.3314927	
8	807	644.6282	1.038012	0.162	0.165	0.166	0.201	0.315	0.478	0.265	0.3314927	
8	808	642.2184	0.872984	0.103	0.089	0.128	0.123	0.271	0.36	0.1942	0.3314927	
8	809	643.3572	1.326811	0.142	0.116	0.224	0.33	0.57	0.706	0.3892	0.3314927	
8	810	642.1867	1.904409	0.26	0.182	0.222	0.286	0.559	0.607	0.3712	0.3314927	
8	811	639.9169	1.986923	0.199	0.152	0.178	0.252	0.389	0.416	0.2774	0.3314927	
8	812	646.5568	1.326811	0.134	0.171	0.256	0.301	0.411	0.461	0.32	0.3314927	
8	813	648.2535	1.161783	0.11	0.099	0.244	0.23	0.354	0.412	0.2678	0.3314927	
8	814	649.2293	2.523264	0.283	0.232	0.361	0.521	0.555	0.552	0.4442	0.3314927	
8	815	649.6105	0.872984	0.144	0.094	0.254	0.362	0.408	0.4	0.3036	0.3314927	
8	816	649.498	0.542928	0.07	0.055	0.11	0.147	0.217	0.192	0.1442	0.3314927	
8	817	651.4243	0.666699	0.062	0.075	0.111	0.127	0.22	0.206	0.1478	0.3314927	
8	818	650.872	1.038012	0.13	0.107	0.137	0.299	0.217	0.319	0.2158	0.3314927	
8	819	648.7793	1.450582	0.158	0.228	0.311	0.49	0.611	0.595	0.447	0.3314927	
8	820	643.8857	1.491839	0.168	0.207	0.393	0.556	0.586	0.646	0.4776	0.3314927	
8	821	587.9742	1.656867	0.192	0.197	0.384	0.564	0.729	0.834	0.5416	0.3314927	
8	822	635.3378	2.234465	0.282	0.212	0.306	0.365	0.686	0.672	0.4482	0.3314927	
8	823	632.7416	1.986923	0.325	0.21	0.366	0.486	0.768	0.594	0.4848	0.3314927	
8	824	634.2049	0.955498	0.13	0.115	0.17	0.257	0.353	0.319	0.2428	0.3314927	
8	825	634.5002	1.574353	0.197	0.116	0.158	0.217	0.372	0.356	0.2438	0.3314927	
8	826	633.2715	0.79047	0.074	0.062	0.155	0.243	0.399	0.302	0.2322	0.3314927	
8	827	634.627	1.038012	0.173	0.178	0.167	0.115	0.294	0.392	0.2292	0.3314927	
8	828	636.3868	1.120526	0.05	0.048	0.147	0.3	0.487	0.437	0.2838	0.3314927	
8	829	635.9619	1.533096	0.112	0.114	0.171	0.193	0.396	0.613	0.2974	0.3314927	
8	830	631.5276	1.20304	0.086	0.087	0.188	0.339	0.484	0.455	0.3106	0.3314927	
9	901	653.6887	0.872984	0.109	0.086	0.138	0.131	0.292	0.418	0.213	0.3314927	
9	902	718.1481	0.707956	0.081	0.074	0.163	0.263	0.229	0.354	0.2166	0.3314927	
9	903	719.9924	1.326811	0.124	0.137	0.264	0.329	0.453	0.562	0.349	0.3314927	
9	904	720.0109	1.739381	0.211	0.247	0.404	0.361	0.565	0.514	0.4182	0.3314927	
9	905	720.8221	0.542928	0.055	0.055	0.12	0.193	0.19	0.21	0.1536	0.3314927	
9	906	720.0532	0.831727	0.102	0.099	0.094	0.251	0.355	0.305	0.2208	0.3314927	
9	907	720.4522	1.285554	0.238	0.228	0.305	0.341	0.386	0.502	0.3524	0.3314927	
9	908	724.199	1.244297	0.201	0.167	0.29	0.338	0.296	0.36	0.2902	0.3314927	
9	909	723.4495	1.574353	0.269	0.192	0.409	0.808	0.586	0.718	0.5426	0.3314927	
9	910	722.7642	1.533096	0.12	0.159	0.302	0.586	0.544	0.507	0.4196	0.3314927	
9	911	722.0878	0.625442	0.057	0.058	0.119	0.187	0.214	0.284	0.1724	0.3314927	
9	912	722.5687	0.542928	0.068	0.056	0.098	0.12	0.176	0.21	0.132	0.3314927	
9	913	723.1896	0.831727	0.081	0.094	0.187	0.231	0.316	0.414	0.2484	0.3314927	
9	914	704.556	1.698124	0.21	0.302	0.402	0.423	0.4	0.352	0.3758	0.3314927	
9	915	719.2896	1.120526	0.216	0.145	0.286	0.381	0.4	0.35	0.3124	0.3314927	
9	916	718.8589	1.409325	0.167	0.203	0.298	0.276	0.249	0.315	0.2682	0.3314927	
9	917	722.1829	0.872984	0.107	0.089	0.173	0.269	0.336	0.484	0.2702	0.3314927	
9	918	723.8264	1.244297	0.18	0.176	0.377	0.414	0.364	0.341	0.3344	0.3314927	
9	920	722.0535	2.02818	0.3	0.431	0.529	0.447	0.45	0.711	0.5136	0.3314927	

Likelihood History
Iteration	Temperature	Likelihood
0	3	-320.3388	
1	3	-171.2399	
2.5	3	-167.7158	
3.5	3	-167.6647	
4	3	31.8035	
5.5	3	32.66254	
12.5	3	32.70223	
14	3	104.5281	
19	3	117.1395	
85.5	3	117.2033	
116	3	117.3464	
471.5	3	117.3651	
984.5	3	117.37	
1000	3	117.37	
2000	2.85	117.37	
3000	2.85	117.37	
4000	2.7075	117.37	
5000	2.7075	117.37	
5420.5	2.7075	117.3702	
6000	2.572125	117.3702	
7000	2.572125	117.3702	
7102	2.572125	117.3711	
7504.5	2.572125	117.3715	
8000	2.443519	117.3715	
