Note: [none]
Total # of Iterations:	25000	
Sample size:	199	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
114.6362	9	-210.3199	-211.2723	0.9970501	0.3355131	
Model:	
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
PotGrowth	0.6286562	0.6012234	0.6509368	N/A	0.1	1	0.9	
sizeX0	9.922804	8.852068	10	N/A	1	10	9	
sizeXb	1.977735	1.839739	2	N/A	0.5	2	1	
alpha	1.036471	0.950636	1.115013	N/A	0.5	3	2.5	
beta	0.5048932	0.5	0.8345996	N/A	0.5	3	2.5	
Cprim	0.002007901	0.001385452	0.002768532	N/A	1e-10	1000	7.579367	
D	2.177093	2.112781	2.242406	N/A	0.05	3	2.95	
gamma	-0.2828936	-0.6861817	0.1530199	N/A	-2	4	0.1564982	
sd	0.1388907	0.1236227	0.150724	N/A	1e-04	10	0.02290568	

Non-varying parameters:
Label	Value
mean	predicted	
x	DG	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[not calculated]

Source data
ID_plot	ID_pine	N_pine	X_UTM	Y_UTM	Age	DG	D	prec	temp	predicted	
1	120	20	376725	4641360	14	0.6616667	3.315	631.1155	13.11758	0.5376302	
1	121	21	376751	4641306	16	0.6496667	4.251	632.0366	13.08328	0.5510922	
1	122	22	376736	4641285	15	0.567	4.499	632.5069	13.06582	0.5468425	
1	123	23	376688	4641270	15	0.3483333	1.755	632.0824	13.07665	0.4160693	
1	124	24	376701	4641274	15	0.433	3.001	632.0994	13.07682	0.5077215	
1	125	25	376709	4641282	11	0.42	1.94	632.4899	13.06548	0.4148954	
1	126	26	376715	4641294	10	0.2966667	0.41	632.1692	13.07706	0.1623978	
1	127	27	376690	4641265	17	0.32	2.44	632.0661	13.07666	0.4552316	
1	128	28	376690	4641269	14	0.2773333	2.068	632.0796	13.07667	0.3858786	
1	129	29	376694	4641282	16	0.3583333	2.125	632.1241	13.07676	0.4161332	
1	130	30	376696	4641288	14	0.2576667	1.927	631.9637	13.08255	0.4199273	
1	131	31	376746	4641328	13	0.4956667	1.813	631.2029	13.11198	0.4010141	
2	201	1	380449	4639383	15	0.6056667	2.853	611.7838	13.36852	0.4460799	
2	202	2	380432	4639421	15	0.6773333	3.718	612.015	13.37409	0.5348656	
2	203	3	380431	4639420	9	0.2476667	1.257	612.0048	13.37407	0.3398908	
2	204	4	380420	4639416	14	0.351	2.597	612.5854	13.35131	0.4485919	
2	205	5	380420	4639414	15	0.4073333	3.278	612.5649	13.3513	0.4664429	
2	206	6	380424	4639413	14	0.4686667	3.194	612.5551	13.35135	0.4984591	
2	207	7	380418	4639404	12	0.6416667	3.375	612.4621	13.35124	0.5188237	
2	208	8	380440	4639399	12	0.342	1.974	611.7917	13.37411	0.3489863	
2	209	9	380425	4639401	11	0.3186667	2.144	612.4321	13.35132	0.4133327	
2	210	10	380420	4639391	13	0.287	1.039	612.4841	13.34557	0.2906843	
2	211	11	380396	4639391	15	0.24	5.18	612.9485	13.3283	0.5920919	
2	212	12	380434	4639392	12	0.5726667	1.632	611.8743	13.36836	0.3589436	
2	213	13	380400	4639375	14	0.679	2.963	612.3153	13.34525	0.5058606	
2	214	14	380377	4639374	9	0.399	0.803	612.7686	13.32799	0.2490129	
2	215	15	380403	4639398	13	0.616	2.692	612.3984	13.35102	0.5025949	
2	216	16	380397	4639423	12	0.6113333	3.766	613.1227	13.33407	0.4935035	
2	217	17	380399	4639423	15	0.4926667	3.222	612.6546	13.35106	0.5272557	
2	218	18	380413	4639364	14	0.628	3.016	612.2026	13.34538	0.5038531	
2	219	19	380409	4639390	11	0.351	1.447	612.4722	13.34542	0.3052724	
2	220	20	380412	4639422	13	0.2453333	1.614	612.6458	13.35122	0.2800055	
3	301	1	375498	4642278	10	0.511	1.117	634.4059	13.05424	0.3166727	
3	302	2	375506	4642289	8	0.2106667	0.368	634.4223	13.05438	0.1021787	
3	303	3	375505	4642290	10	0.369	2.393	634.4236	13.05437	0.4212083	
3	304	4	375499	4642316	11	0.4143333	2.657	634.2728	13.06016	0.4368385	
3	305	5	375497	4642317	10	0.2076667	1.077	634.2738	13.06014	0.261883	
